! FILETYPE CSV,
! VERSION 1.0,1
! TIMESTAMP Tuesday, 19 March 2019 13:28:03
! NAME Agilent Technologies,
! MODEL N9923A,
! SERIAL US49470133,
! FIRMWARE_VERSION A.05.53,
! GPS_LATITUDE ,
! GPS_LONGITUDE ,
! GPS_TIMESTAMP 0001-01-01 00:00:00Z,
! GPS_SECS_SINCE_LAST_READ 0,
! CHECKSUM 1179777072,
! CORRECTION1 Rdy,
! DATA Freq,S11
! FREQ UNIT Hz,
! DATA UNIT dB,
BEGIN,
2000000,-0.020954501189235
21990000,-0.085415898282146
41980000,-0.492114482639158
61970000,-0.317603116481874
81960000,-0.627281647424184
101950000,-0.581650949761791
121940000,-0.698755178910593
141930000,-0.827378271524497
161920000,-0.759015799106882
181910000,-1.01085203116847
201900000,-0.883082282856163
221890000,-1.17859137191074
241880000,-0.937258566419302
261870000,-1.29461436238249
281860000,-1.15497726381047
301850000,-1.32496182008257
321840000,-1.3879031295975
341830000,-1.28803129105223
361820000,-1.64557787919029
381810000,-1.30280282959331
401800000,-1.92078199688735
421790000,-1.35281762901673
441780000,-1.7475728919249
461770000,-1.83350183469947
481760000,-1.59627615419982
501750000,-2.21997589486535
521740000,-1.65366528001867
541730000,-2.16665707109419
561720000,-1.94784992732509
581710000,-2.10493223768319
601700000,-2.30156781595039
621690000,-2.07663265549395
641680000,-2.50468076984314
661670000,-2.18160115985968
681660000,-2.54307570835452
701650000,-2.53703765661781
721640000,-2.34011997815579
741630000,-2.87412535232323
761620000,-2.51298260549278
781610000,-2.89065308182688
801600000,-2.85375679840544
821590000,-2.73643881263263
841580000,-3.29163003569238
861570000,-2.62269899577476
881560000,-3.65708588226932
901550000,-2.92739777394373
921540000,-3.3478361278606
941530000,-3.56717251473349
961520000,-3.08327231763318
981510000,-4.45936283162716
1001500000,-3.09258315418846
1021490000,-4.7317797956195
1041480000,-4.03483423681653
1061470000,-4.89799028597853
1081460000,-5.04657776319911
1101450000,-5.20655984670071
1121440000,-6.91058825717912
1141430000,-6.90906470601059
1161420000,-10.9795165006097
1181410000,-10.4384975244544
1201400000,-16.0332452297764
1221390000,-15.1252486432078
1241380000,-22.8730695607958
1261370000,-17.0762052686665
1281360000,-23.7188720425367
1301350000,-17.4048055534472
1321340000,-28.3753124271578
1341330000,-24.3271241726822
1361320000,-24.6494166134501
1381310000,-31.9372564401031
1401300000,-17.388987207021
1421290000,-18.8724685624587
1441280000,-15.6381030550218
1461270000,-17.0035638718513
1481260000,-19.4669720169748
1501250000,-15.6817113335058
1521240000,-33.0842177397294
1541230000,-15.5139776698069
1561220000,-27.8807909931442
1581210000,-17.8330195843335
1601200000,-28.6837474570956
1621190000,-19.5846739130777
1641180000,-22.0100474784308
1661170000,-11.9623631221138
1681160000,-13.331720010508
1701150000,-8.77660257892206
1721140000,-11.9426471917038
1741130000,-10.0713732874367
1761120000,-23.6464216566889
1781110000,-16.875145876557
1801100000,-8.75029919978827
1821090000,-9.61491797916931
1841080000,-6.53242087469481
1861070000,-8.43604004118699
1881060000,-6.19783356845746
1901050000,-7.86278373929437
1921040000,-6.77336995197156
1941030000,-7.39799124544445
1961020000,-7.33783660783616
1981010000,-7.09360503048069
2001000000,-7.61971797230531
2020990000,-6.87407850672488
2040980000,-8.05416201547644
2060970000,-6.44916978513808
2080960000,-7.32317368460827
2100950000,-6.20042602247402
2120940000,-6.74282710027398
2140930000,-6.54673065716094
2160920000,-6.01298307747043
2180910000,-6.7406373684203
2200900000,-5.63695357551985
2220890000,-6.62447208731208
2240880000,-5.62314071134594
2260870000,-6.20638958722646
2280860000,-6.01036866560593
2300850000,-5.69842049832
2320840000,-6.53287694714897
2340830000,-5.46642285896251
2360820000,-6.63412780044848
2380810000,-5.50322480535971
2400800000,-5.94540620055615
2420790000,-6.19061164148961
2440780000,-5.69730562492343
2460770000,-6.48342830689025
2480760000,-5.69598076312268
2500750000,-6.26120687471002
2520740000,-5.92287213269618
2540730000,-6.19072769666124
2560720000,-6.44949013342712
2580710000,-6.04435613195489
2600700000,-6.33226960248691
2620690000,-6.19438802808315
2640680000,-6.37255017486578
2660670000,-6.37166453354111
2680660000,-6.36114623520323
2700650000,-6.52104233193695
2720640000,-6.55021145394542
2740630000,-6.49314310962305
2760620000,-6.70172535935997
2780610000,-6.61259550410096
2800600000,-6.75890205998734
2820590000,-6.58915647799194
2840580000,-6.78068047686085
2860570000,-7.29174088757468
2880560000,-6.78021804791225
2900550000,-7.07669507110228
2920540000,-6.86570091390889
2940530000,-7.02083680782527
2960520000,-7.37416746594871
2980510000,-6.79591648446782
3000500000,-7.33495743307455
3020490000,-7.12672790357631
3040480000,-7.16142911028206
3060470000,-7.57936624943934
3080460000,-6.87088186050112
3100450000,-7.76693539412666
3120440000,-7.0260995643764
3140430000,-7.30313127084134
3160420000,-7.46067907877581
3180410000,-6.79444877320687
3200400000,-7.94740547738432
3220390000,-6.74335225467342
3240380000,-7.76588292666332
3260370000,-7.20168797832473
3280360000,-7.03320251566803
3300350000,-7.88207340466292
3320340000,-6.62098232128628
3340330000,-8.04978189788554
3360320000,-6.77702864912004
3380310000,-7.33066843134406
3400300000,-7.60156321954849
3420290000,-6.74388245698635
3440280000,-8.06013132501821
3460270000,-6.58257314308877
3480260000,-7.80514633176875
3500250000,-7.28208215615756
3520240000,-6.94265914514479
3540230000,-8.02988263768355
3560220000,-6.64598666134211
3580210000,-8.13865379324001
3600200000,-6.96306715933306
3620190000,-7.19015719277381
3640180000,-7.98100253128476
3660170000,-6.75593647525876
3680160000,-8.09991300017979
3700150000,-7.05993396447758
3720140000,-7.64527216523021
3740130000,-7.71664346452579
3760120000,-6.98721718108737
3780110000,-8.32797985083152
3800100000,-6.95069295182009
3820090000,-7.98975887140402
3840080000,-7.59317626561502
3860070000,-7.02851992435382
3880060000,-8.58124309191472
3900050000,-6.89121429527567
3920040000,-8.19390371957634
3940030000,-7.56616819405422
3960020000,-7.245730241938
3980010000,-8.63900011927869
4000000000,-6.84122952371315
